"name","archive_version","nrt","height","nonce","deltart"
"nyc",8,"1540975871170","1694686","4162112","366"
"nyc",8,"1540975899091","1694687","1024166","27"
"nyc",8,"1540976002025","1694688","540708","99"
"nyc",8,"1540978065819","1694697","3946218567","180"
"nyc",8,"1540978066027","1694697","3946218567","181"
"nyc",8,"1540979640342","1694708","2105114","10"
"nyc",8,"1540979640354","1694708","2105114","10"
"nyc",8,"1540979640363","1694708","2105114","10"
"nyc",8,"1540980777803","1694714","1745011","365"
"nyc",8,"1540981477356","1694720","2684374965","64"
"nyc",8,"1540982566123","1694729","3977417211","81"
"nyc",8,"1540982980004","1694734","4211090418","162"
"nyc",8,"1540982981475","1694734","4211090418","163"
"nyc",8,"1540983107808","1694735","1457620218","129"
"nyc",8,"1540983809234","1694739","35887","20"
"nyc",8,"1540984276987","1694742","1178458","115"
"nyc",8,"1540984312233","1694744","3383078","20"
"nyc",8,"1540984312235","1694744","3383078","20"
"nyc",8,"1540984540705","1694745","1073761235","49"
"nyc",8,"1540984540707","1694745","1073761235","49"
"nyc",8,"1540984540709","1694745","1073761235","49"
"nyc",8,"1540985081252","1694749","3965015419","114"
"nyc",8,"1540986440726","1694755","3156463","32"
"nyc",8,"1540986440729","1694755","3156463","32"
"nyc",8,"1540986440731","1694755","3156463","32"
"nyc",8,"1540987410699","1694763","890768","170"
"nyc",8,"1540987411002","1694763","890768","171"
"nyc",8,"1540987411005","1694763","890768","171"
"nyc",8,"1540987411009","1694763","890768","171"
"nyc",8,"1540988428002","1694774","3221237685","47"
"nyc",8,"1540988807715","1694776","1431665342","188"
"nyc",8,"1540988807717","1694776","1431665342","188"
"nyc",8,"1540989043270","1694777","504366271","56"
"nyc",8,"1540989045462","1694777","504366271","58"
"nyc",8,"1540989517245","1694784","3865","56"
"nyc",8,"1540989655053","1694785","26065","141"
"nyc",8,"1540989655054","1694785","26065","141"
"nyc",8,"1540990659723","1694795","6402","47"
"nyc",8,"1540991123114","1694799","4284577","56"
"nyc",8,"1540991764387","1694804","1795176954","45"
"nyc",8,"1540992084079","1694806","2566914571","43"
"nyc",8,"1540992084081","1694806","2566914571","43"
"nyc",8,"1540992553554","1694810","285212925","153"
"nyc",8,"1540992567207","1694811","1086326675","15"
"nyc",8,"1540992679938","1694814","43953","71"
"nyc",8,"1540992776141","1694816","4002","59"
"nyc",8,"1540992951286","1694817","495053","177"
"nyc",8,"1540992951344","1694817","495053","177"
"nyc",8,"1540992951440","1694817","495053","177"
"nyc",8,"1540992951602","1694817","495053","177"
"nyc",8,"1540993074771","1694820","56888","24"
"nyc",8,"1540993074850","1694820","56888","24"
"nyc",8,"1540993075388","1694820","56888","25"
"nyc",8,"1540993207370","1694821","3288338255","134"
"nyc",8,"1540993207864","1694821","3288338255","134"
"nyc",8,"1540993360910","1694826","1913200113","21"
"nyc",8,"1540995457964","1694834","4060420834","401"
"nyc",8,"1540995458164","1694834","4060420834","402"
"nyc",8,"1540995459601","1694834","4060420834","403"
"nyc",8,"1540995678204","1694836","9942565","216"
"nyc",8,"1540995679436","1694836","9942565","217"
